대여소번호,대여건수,반납건수,대여소명,반납-대여건수
574,39597,22567,아차산역4번출구,-17030
711,17370,2900,신일해피트리아파트 앞,-14470
3513,30022,19156,상왕십리역 1번출구,-10866
623,27664,16886,서울시립대 정문 앞 B,-10778
1126,27603,16930,우장산역 1번출구옆(우장산아이파크105동앞),-10673
207,113094,102439,여의나루역 1번출구 앞,-10655
584,42593,31953,광진광장 교통섬,-10640
1692,27991,18358,온곡초교 교차로,-9633
2712,13681,4377,화곡터널입구교차로,-9304
4591,10961,2570,신길자이아파트,-8391
2405,12461,4288,청담공원앞 교차로,-8173
3758,29369,21373,서울남부출입국관리소,-7996
434,8248,489,신당 래미안 버스정류장,-7759
2349,10604,3410,역삼빌딩 앞(하나은행 옆),-7194
1924,14338,7272,삼부르네상스파크빌,-7066
1430,15527,8599,중랑구청,-6928
1199,24029,17105,우장산역 3번출구,-6924
213,34647,27768,KT앞,-6879
1428,16544,9700,원묵고등학교,-6844
497,32358,25642,합정동주민센터 앞,-6716
4621,8749,2124,남산도서관 앞,-6625
4221,8168,1808,솔리스타오피스텔(공덕동주민센터),-6360
162,9703,3343,봉원고가차도 밑,-6360
725,10013,3809,양강중학교앞 교차로,-6204
3642,9612,3508,LH강남힐스테이트아파트,-6104
474,30286,24202,동대문역사문화공원역 1번출구 뒤편,-6084
4009,9922,3851,월계프라자,-6071
1854,9901,3871,가산아네스트 오피스텔 앞,-6030
720,11383,5400,서울강월초등학교 앞,-5983
1175,20441,14596,대한항공 인력개발센터,-5845
