대여소번호,대여소명,자치구,대여건수,반납건수,반납건수-대여건수
574,아차산역4번출구,광진구,39597,22567,-17030
711,신일해피트리아파트 앞,양천구,17370,2900,-14470
3513,상왕십리역 1번출구,성동구,30022,19156,-10866
623,서울시립대 정문 앞 B,동대문구,27664,16886,-10778
1126,우장산역 1번출구옆(우장산아이파크105동앞),강서구,27603,16930,-10673
207,여의나루역 1번출구 앞,영등포구,113094,102439,-10655
584,광진광장 교통섬,광진구,42593,31953,-10640
1692,온곡초교 교차로,노원구,27991,18358,-9633
2712,화곡터널입구교차로,강서구,13681,4377,-9304
4591,신길자이아파트,영등포구,10961,2570,-8391
2405,청담공원앞 교차로,강남구,12461,4288,-8173
3758,서울남부출입국관리소,강서구,29369,21373,-7996
434,신당 래미안 버스정류장,중구,8248,489,-7759
2349,역삼빌딩 앞(하나은행 옆),강남구,10604,3410,-7194
1924,삼부르네상스파크빌,구로구,14338,7272,-7066
1430,중랑구청,중랑구,15527,8599,-6928
1199,우장산역 3번출구,강서구,24029,17105,-6924
213,KT앞,영등포구,34647,27768,-6879
1428,원묵고등학교,중랑구,16544,9700,-6844
497,합정동주민센터 앞,마포구,32358,25642,-6716
4621,남산도서관 앞,용산구,8749,2124,-6625
4221,솔리스타오피스텔(공덕동주민센터),마포구,8168,1808,-6360
162,봉원고가차도 밑,서대문구,9703,3343,-6360
725,양강중학교앞 교차로,양천구,10013,3809,-6204
3642,LH강남힐스테이트아파트,강남구,9612,3508,-6104
474,동대문역사문화공원역 1번출구 뒤편,중구,30286,24202,-6084
4009,월계프라자,노원구,9922,3851,-6071
1854,가산아네스트 오피스텔 앞,금천구,9901,3871,-6030
720,서울강월초등학교 앞,양천구,11383,5400,-5983
1175,대한항공 인력개발센터,강서구,20441,14596,-5845
